2025-08-29T10:08:17 | Topic removed | name=US-China Trade Policy | id=us_china_trade_policy | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:1242 | rels=6 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=Euro Area Inflation | id=euro_inflation | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:1811 | rels=0 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=Fed Policy Uncertainty | id=fed_policy_uncertainty | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:3852 | rels=5 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=Household Balance Sheet | id=household_balance_sheet | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:3865 | rels=2 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=US Inflation | id=us_inflation | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:3930 | rels=0 | reason=minimal_prune_not_crucial
2025-08-29T11:22:35 | Retrieved articles | Fed Policy | Retrieved 4 from API
2025-08-29T14:10:00 | Added article | V075F0GSV | to existing topic brent
2025-08-29T14:10:31 | Node relationship created | dxy->ust5y | type=INFLUENCES
2025-08-29T14:10:31 | Replacement of article skipped | dxy | tf=medium cnt=0 < 5
2025-08-29T14:10:31 | Added article | V075F0GSV | to existing topic dxy
2025-08-29T14:10:53 | Relationship duplicate | fed_policy->spx | type=INFLUENCES
2025-08-29T14:10:53 | Replacement of article skipped | spx | tf=current cnt=3 < 5
2025-08-29T14:10:53 | Added article | QJEVQZHQR | to existing topic spx
2025-08-29T14:11:26 | Node relationship created | ecb_policy->eurusd | type=INFLUENCES
2025-08-29T14:11:26 | Replacement of article skipped | eurusd | tf=medium cnt=0 < 5
2025-08-29T14:11:26 | Added article | V075F0GSV | to existing topic eurusd
2025-08-29T14:12:07 | Node relationship created | dxy->ust2y | type=INFLUENCES
2025-08-29T14:12:07 | Replacement of article skipped | dxy | tf=current cnt=3 < 5
2025-08-29T14:12:07 | Added article | QJEVQZHQR | to existing topic dxy
2025-08-29T14:12:22 | Node relationship created | gbpusd->dxy | type=CORRELATES_WITH
2025-08-29T14:12:22 | Replacement of article skipped | gbpusd | tf=medium cnt=0 < 5
2025-08-29T14:12:22 | Added article | V075F0GSV | to existing topic gbpusd
2025-08-29T14:12:45 | Node relationship created | ust10y->eurusd | type=INFLUENCES
2025-08-29T14:12:45 | Replacement of article skipped | ust10y | tf=current cnt=4 < 5
2025-08-29T14:12:45 | Added article | QJEVQZHQR | to existing topic ust10y
2025-08-29T14:13:24 | Node relationship created | bund10y->ecb_policy | type=INFLUENCES
2025-08-29T14:13:24 | Replacement of article skipped | bund10y | tf=current cnt=1 < 5
2025-08-29T14:13:24 | Added article | QJEVQZHQR | to existing topic bund10y
2025-08-29T14:13:53 | Node relationship created | gilt10y->gbpusd | type=INFLUENCES
2025-08-29T14:13:53 | Replacement of article skipped | gilt10y | tf=current cnt=1 < 5
2025-08-29T14:13:53 | Added article | QJEVQZHQR | to existing topic gilt10y
2025-08-29T14:15:19 | Node relationship created | ecb_policy->sx5e | type=INFLUENCES
2025-08-29T14:15:20 | Replacement of article skipped | sx5e | tf=current cnt=1 < 5
2025-08-29T14:15:20 | Added article | QJEVQZHQR | to existing topic sx5e
2025-08-29T14:15:35 | Node relationship created | fed_policy->ust30y | type=INFLUENCES
2025-08-29T14:15:35 | Replacement of article skipped | fed_policy | tf=current cnt=4 < 5
2025-08-29T14:15:36 | Added article | QJEVQZHQR | to existing topic fed_policy
2025-08-29T14:15:53 | Node relationship created | ecb_policy->bund10y | type=INFLUENCES
2025-08-29T14:15:53 | Replacement of article skipped | ecb_policy | tf=current cnt=1 < 5
2025-08-29T14:15:53 | Added article | QJEVQZHQR | to existing topic ecb_policy
2025-08-29T14:15:54 | Backfill added | QJEVQZHQR -> ust10y | section=medium
2025-08-29T14:15:54 | Enrichment check | ust10y | section=current
2025-08-29T14:15:54 | Pipeline complete | pipeline | run complete
2025-08-29T14:15:54 | Retrieved articles | US 2Y Treasury Yield | Retrieved 10 from API
2025-08-29T14:28:43 | Enrichment check | usdcny | section=fundamental
2025-08-29T14:29:15 | Enrichment check | usdcny | section=medium
2025-08-29T14:29:44 | Enrichment check | usdcny | section=current
2025-08-29T14:31:13 | Node relationship created | usdcny->dxy | type=COMPONENT_OF
2025-08-29T14:31:13 | Replacement of article skipped | usdcny | tf=current cnt=1 < 5
2025-08-29T14:31:13 | Added article | XHDE9MSFQ | to intended topic usdcny
2025-08-29T14:31:47 | Node relationship created | fed_policy->ust5y | type=INFLUENCES
2025-08-29T14:31:52 | Article replaced | fed_policy | old=V0BEQ94VR new=XHDE9MSFQ
2025-08-29T14:31:55 | Triggered rewrite | fed_policy | new_article=XHDE9MSFQ
2025-08-29T14:42:29 | Enrichment check | usdcny | section=fundamental
2025-08-29T14:43:09 | Enrichment check | usdcny | section=medium
2025-08-29T14:43:35 | Enrichment check | usdcny | section=current
2025-08-29T14:44:20 | Enrichment check | fed_policy | section=fundamental
2025-08-29T14:44:50 | Enrichment check | fed_policy | section=medium
2025-08-29T14:45:20 | Retrieved articles | China Exports | Retrieved 10 from API
2025-08-29T14:48:04 | Topic added | name=US Unemployment Claims | category=macro_driver | importance=2
2025-08-29T14:48:28 | Node relationship created | us_unemployment_claims->fed_policy | type=INFLUENCES
2025-08-29T14:48:28 | Replacement of article skipped | us_unemployment_claims | tf=current cnt=1 < 5
2025-08-29T14:48:28 | Added article | HCYCKF3PN | to new topic us_unemployment_claims
2025-08-29T14:48:28 | Backfill added | HCYCKF3PN -> fed_policy | section=medium
2025-08-29T14:48:30 | Topic rejected | name=Councillor Audrey Dempsey who made 'white racism' claim joins Reform | category=None | failure=proposal_null
2025-08-29T14:48:30 | Failed to create new topic for article | OGKPK3ZTT | to new topic None
2025-08-29T14:48:30 | Error | - | Backfill link_orphan_articles: add_article returned status=failed for OGKPK3ZTT
2025-08-29T14:50:01 | Node relationship created | us_inflation->ust30y | type=INFLUENCES
2025-08-29T14:50:01 | Replacement of article skipped | us_inflation | tf=current cnt=3 < 5
2025-08-29T14:50:01 | Added article | EIGII8HNM | to existing topic us_inflation
2025-08-29T14:50:09 | Node relationship created | us_unemployment_claims->ust10y | type=INFLUENCES
2025-08-29T14:50:09 | Replacement of article skipped | us_unemployment_claims | tf=medium cnt=0 < 5
2025-08-29T14:50:09 | Added article | GZ9VV1RV0 | to existing topic us_unemployment_claims
2025-08-29T14:50:10 | Backfill added | GZ9VV1RV0 -> fed_policy | section=medium
2025-08-29T14:50:10 | Enrichment check | fed_policy | section=current
2025-08-29T14:50:10 | Enrichment check | bund10y | section=fundamental
2025-08-29T14:50:37 | Node relationship created | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-08-29T14:50:57 | No replacement of article | fed_policy | new_article=EIGII8HNM
2025-08-29T14:51:01 | Triggered rewrite | fed_policy | new_article=EIGII8HNM
2025-08-29T14:51:01 | Error | - | Backfill link_orphan_articles failed for EIGII8HNM Error: Unsupported problem type: rewrites_skipped_0_articles
2025-08-29T14:51:40 | Enrichment check | bund10y | section=medium
2025-08-29T14:53:08 | Node relationship created | ust10y->ust2y | type=CORRELATES_WITH
2025-08-29T14:53:08 | Replacement of article skipped | ust10y | tf=current cnt=4 < 5
2025-08-29T14:53:08 | Added article | 1G54B8R46 | to existing topic ust10y
2025-08-29T14:54:50 | Node relationship created | china_exports->usdcny | type=INFLUENCES
2025-08-29T14:54:50 | Replacement of article skipped | china_exports | tf=current cnt=1 < 5
2025-08-29T14:54:50 | Added article | 1G54B8R46 | to existing topic china_exports
2025-08-29T14:55:52 | Node relationship created | spx->ust2y | type=CORRELATES_WITH
2025-08-29T14:55:52 | Replacement of article skipped | spx | tf=current cnt=3 < 5
2025-08-29T14:55:52 | Added article | 2SW2RSVRM | to existing topic spx
2025-08-29T14:56:04 | Node relationship created | us_inflation->dxy | type=INFLUENCES
2025-08-29T14:56:04 | Replacement of article skipped | us_inflation | tf=current cnt=4 < 5
2025-08-29T14:56:04 | Added article | 1G54B8R46 | to existing topic us_inflation
2025-08-29T14:57:00 | Node relationship created | bund10y->dxy | type=INFLUENCES
2025-08-29T14:57:00 | Replacement of article skipped | bund10y | tf=current cnt=2 < 5
2025-08-29T14:57:00 | Added article | VDO8D9T7M | to intended topic bund10y
2025-08-29T14:57:26 | Node relationship created | spx->ust5y | type=CORRELATES_WITH
2025-08-29T14:57:26 | Replacement of article skipped | spx | tf=current cnt=4 < 5
2025-08-29T14:57:26 | Added article | 1G54B8R46 | to existing topic spx
2025-08-29T14:58:43 | Node relationship created | us_unemployment_claims->ust2y | type=INFLUENCES
2025-08-29T14:58:43 | Replacement of article skipped | us_unemployment_claims | tf=current cnt=2 < 5
2025-08-29T14:58:43 | Added article | VDO8D9T7M | to existing topic us_unemployment_claims
2025-08-29T14:59:33 | Node relationship created | ust2y->ust10y | type=INFLUENCES
2025-08-29T14:59:33 | Replacement of article skipped | ust2y | tf=current cnt=2 < 5
2025-08-29T14:59:33 | Added article | VDO8D9T7M | to existing topic ust2y
2025-08-29T14:59:37 | Topic rejected | name=GE HealthCare unveils Vivid Pioneer, its most advanced AI-powered cardiovascular ultrasound system, designed to enhance speed and image quality for improved diagnostic confidence and workflow efficiency | category=None | failure=proposal_null
2025-08-29T14:59:37 | Failed to create new topic for article | 4E23W4543 | to new topic None
2025-08-29T15:00:56 | Relationship duplicate | fed_policy->ust5y | type=INFLUENCES
2025-08-29T15:00:56 | Replacement of article skipped | ust5y | tf=current cnt=1 < 5
2025-08-29T15:00:56 | Added article | VDO8D9T7M | to existing topic ust5y
2025-08-29T15:01:14 | Node relationship created | gold->dxy | type=CORRELATES_WITH
2025-08-29T15:01:14 | Replacement of article skipped | gold | tf=medium cnt=1 < 5
2025-08-29T15:01:14 | Added article | E8958LXZX | to existing topic gold
2025-08-29T15:01:35 | Error | - | Backfill link_orphan_articles: add_article returned status=skipped for WBOK790XG
2025-08-29T15:01:43 | Node relationship created | ust30y->ust10y | type=CORRELATES_WITH
2025-08-29T15:01:44 | Replacement of article skipped | ust30y | tf=current cnt=1 < 5
2025-08-29T15:01:44 | Added article | VDO8D9T7M | to existing topic ust30y
2025-08-29T15:01:44 | Backfill added | VDO8D9T7M -> bund10y | section=medium
2025-08-29T15:02:22 | Error | - | Backfill link_orphan_articles: add_article returned status=skipped for GUTGNG4IC
2025-08-29T15:03:31 | Error | - | Backfill link_orphan_articles: add_article returned status=skipped for XSFLRE8ZT
2025-08-29T15:05:36 | Node relationship created | ust2y->ust5y | type=INFLUENCES
2025-08-29T15:05:36 | Replacement of article skipped | ust2y | tf=current cnt=2 < 5
2025-08-29T15:05:36 | Added article | DM7LED6EO | to existing topic ust2y
2025-08-29T15:06:40 | Node relationship created | ecb_policy->euro_inflation | type=INFLUENCES
2025-08-29T15:06:40 | Replacement of article skipped | ecb_policy | tf=medium cnt=0 < 5
2025-08-29T15:06:41 | Added article | V075F0GSV | to existing topic ecb_policy
2025-08-29T15:06:41 | Backfill added | V075F0GSV -> bund10y | section=medium
2025-08-29T15:06:41 | Enrichment check | bund10y | section=current
2025-08-29T15:06:41 | Enrichment check | ust10y | section=fundamental
2025-08-29T15:06:58 | Node relationship created | ust10y->ust5y | type=CORRELATES_WITH
2025-08-29T15:06:58 | Replacement of article skipped | ust10y | tf=current cnt=4 < 5
2025-08-29T15:06:58 | Added article | DM7LED6EO | to existing topic ust10y
2025-08-29T15:07:14 | Node relationship created | spx->ust30y | type=CORRELATES_WITH
2025-08-29T15:07:56 | No replacement of article | spx | new_article=0QKLPBCAP
2025-08-29T15:08:20 | Node relationship created | dxy->ust30y | type=INFLUENCES
2025-08-29T15:08:20 | Replacement of article skipped | dxy | tf=current cnt=2 < 5
2025-08-29T15:08:20 | Added article | DM7LED6EO | to existing topic dxy
2025-08-29T15:08:21 | Enrichment check | china_exports | section=fundamental
2025-08-29T15:08:27 | Triggered rewrite | spx | new_article=0QKLPBCAP
2025-08-29T15:08:28 | Error | - | Backfill link_orphan_articles failed for 0QKLPBCAP Error: Unsupported problem type: rewrites_skipped_0_articles
2025-08-29T15:09:06 | Enrichment check | ust10y | section=medium
2025-08-29T15:10:05 | Enrichment check | china_exports | section=medium
2025-08-29T15:10:31 | Node relationship created | fed_policy->gold | type=INFLUENCES
2025-08-29T15:10:55 | No replacement of article | fed_policy | new_article=D0R3LX8F7
2025-08-29T15:11:05 | Triggered rewrite | fed_policy | new_article=D0R3LX8F7
2025-08-29T15:11:05 | Error | - | Backfill link_orphan_articles failed for D0R3LX8F7 Error: Unsupported problem type: rewrites_skipped_0_articles
2025-08-29T15:11:20 | Error | - | Backfill link_orphan_articles: add_article returned status=skipped for Y978UO2HQ
2025-08-29T15:11:57 | Enrichment check | china_exports | section=current
2025-08-29T15:14:26 | Node relationship created | spx->us_inflation | type=CORRELATES_WITH
2025-08-29T15:14:26 | Replacement of article skipped | spx | tf=medium cnt=1 < 5
2025-08-29T15:14:26 | Added article | KNWKYIQ1W | to existing topic spx
2025-08-29T15:15:12 | Pipeline complete | pipeline | run complete
2025-08-29T15:15:15 | Retrieved articles | China Credit Impulse | Retrieved 10 from API
2025-08-29T15:16:15 | Node relationship created | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-08-29T15:16:21 | No replacement of article | us_inflation | new_article=QJEVQZHQR
2025-08-29T15:16:34 | Triggered rewrite | us_inflation | new_article=QJEVQZHQR
2025-08-29T15:16:48 | Node relationship created | us_inflation->euro_inflation | type=INFLUENCES
2025-08-29T15:16:48 | Replacement of article skipped | us_inflation | tf=fundamental cnt=1 < 5
2025-08-29T15:16:48 | Added article | H86O3XRUJ | to existing topic us_inflation
2025-08-29T15:18:26 | Node relationship created | ust10y->gold | type=CORRELATES_WITH
2025-08-29T15:18:27 | Replacement of article skipped | ust10y | tf=fundamental cnt=1 < 5
2025-08-29T15:18:27 | Added article | H86O3XRUJ | to existing topic ust10y
2025-08-29T16:26:13 | Enrichment check | usdcny | section=fundamental
2025-08-29T16:26:58 | Enrichment check | usdcny | section=medium
2025-08-29T16:28:44 | Node relationship created | usdcny->fed_policy | type=INFLUENCES
2025-08-29T16:28:44 | Replacement of article skipped | usdcny | tf=current cnt=2 < 5
2025-08-29T16:28:44 | Added article | QJEVQZHQR | to intended topic usdcny
2025-08-29T16:29:07 | Node relationship created | us_unemployment_claims->us_inflation | type=INFLUENCES
2025-08-29T16:29:07 | Replacement of article skipped | us_unemployment_claims | tf=current cnt=3 < 5
2025-08-29T16:29:07 | Added article | QJEVQZHQR | to existing topic us_unemployment_claims
2025-08-29T16:29:08 | Backfill added | QJEVQZHQR -> usdcny | section=medium
2025-08-29T16:29:21 | Enrichment check | usdcny | section=current
2025-08-29T16:29:21 | Enrichment check | us_unemployment_claims | section=fundamental
2025-08-29T16:30:49 | Enrichment check | us_unemployment_claims | section=medium
2025-08-29T16:32:19 | Enrichment check | us_unemployment_claims | section=current
2025-08-29T16:32:19 | Enrichment check | fed_policy | section=fundamental
2025-08-29T16:32:49 | Enrichment check | fed_policy | section=medium
2025-08-29T16:35:20 | Node relationship created | us_unemployment_claims->ust30y | type=INFLUENCES
2025-08-29T16:35:21 | Replacement of article skipped | us_unemployment_claims | tf=current cnt=4 < 5
2025-08-29T16:35:21 | Added article | B1JE9YGKN | to existing topic us_unemployment_claims
2025-08-29T16:35:47 | Node relationship removed | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-08-29T16:35:47 | Node relationship created | fed_policy->usdcny | type=INFLUENCES
2025-08-29T16:35:53 | No replacement of article | fed_policy | new_article=B1JE9YGKN
2025-08-29T16:35:59 | Triggered rewrite | fed_policy | new_article=B1JE9YGKN
2025-08-29T17:08:04 | Enrichment check | usdcny | section=fundamental
2025-08-29T17:08:05 | Retrieved articles | US 30Y Treasury Yield | Retrieved 10 from API
2025-08-29T17:08:33 | Enrichment check | usdcny | section=medium
2025-08-29T17:09:24 | Enrichment check | usdcny | section=current
2025-08-29T17:09:24 | Enrichment check | us_unemployment_claims | section=fundamental
2025-08-29T17:10:29 | Enrichment check | us_unemployment_claims | section=medium
2025-08-29T17:14:36 | Node relationship created | gold->us_inflation | type=CORRELATES_WITH
2025-08-29T17:14:37 | Replacement of article skipped | gold | tf=fundamental cnt=0 < 5
2025-08-29T17:14:37 | Added article | XUP8IRL2R | to existing topic gold
2025-08-29T17:16:33 | Node relationship removed | fed_policy->gold | type=INFLUENCES
2025-08-29T17:16:33 | Node relationship created | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-08-29T17:16:34 | Replacement of article skipped | fed_policy | tf=fundamental cnt=0 < 5
2025-08-29T17:16:34 | Added article | XUP8IRL2R | to existing topic fed_policy
2025-08-29T17:16:43 | Enrichment check | us_unemployment_claims | section=current
2025-08-29T17:16:43 | Enrichment check | fed_policy | section=fundamental
2025-08-29T17:17:52 | Node relationship created | us_inflation->gold | type=INFLUENCES
2025-08-29T17:17:52 | Replacement of article skipped | us_inflation | tf=fundamental cnt=1 < 5
2025-08-29T17:17:52 | Added article | XUP8IRL2R | to existing topic us_inflation
2025-08-29T17:18:55 | Node relationship created | ust10y->gilt10y | type=CORRELATES_WITH
2025-08-29T17:18:55 | Replacement of article skipped | ust10y | tf=fundamental cnt=1 < 5
2025-08-29T17:18:55 | Added article | XUP8IRL2R | to existing topic ust10y
2025-08-29T17:19:13 | Enrichment check | fed_policy | section=medium
2025-08-29T17:19:19 | Node relationship created | ust2y->us_inflation | type=INFLUENCES
2025-08-29T17:19:19 | Replacement of article skipped | ust2y | tf=fundamental cnt=0 < 5
2025-08-29T17:19:19 | Added article | XUP8IRL2R | to existing topic ust2y
2025-08-29T17:19:42 | Node relationship created | ust5y->dxy | type=INFLUENCES
