2025-08-24T00:03:55 | Node relationship removed | us_inflation->stagflation | type=INFLUENCES
2025-08-24T02:14:22 | Added article | BZRD62M0Z | to existing topic us_10y
2025-08-24T02:16:03 | Pipeline complete | pipeline | run complete
2025-08-24T02:16:05 | Retrieved articles | Bell Canada MTN Debentures | Retrieved 10 from API
2025-08-24T02:21:21 | Topic rejected | name=Vault Minerals Limited Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now | category=None | failure=proposal_null
2025-08-24T02:21:21 | Failed to create new topic for article | LMDWEGA1E | to new topic None
2025-08-24T02:37:55 | Article replaced | fed_policy | old=IN4FD7691 new=S7M6BJSRT
2025-08-24T02:38:06 | Triggered rewrite | fed_policy | new_article=S7M6BJSRT
2025-08-24T02:40:46 | Saved analysis | fed_policy | field "fundamental_analysis" len=1492
2025-08-24T02:43:58 | Saved analysis | fed_policy | field "medium_analysis" len=2920
2025-08-24T02:50:36 | Saved analysis | fed_policy | field "drivers" len=1209
2025-08-24T02:53:10 | Saved analysis | fed_policy | field "movers_scenarios" len=711
2025-08-24T03:12:49 | Saved analysis | fed_policy | field "swing_trade_or_outlook" len=3617
2025-08-24T03:16:48 | Saved analysis | fed_policy | field "executive_summary" len=981
2025-08-24T03:16:49 | Rewrite complete | fed_policy | total_chars=10930
2025-08-24T03:16:49 | Added article | S7M6BJSRT | to existing topic fed_policy
2025-08-24T03:18:36 | Node relationship removed | us_inflation->us_trade_policy_inflation | type=INFLUENCES
2025-08-24T03:18:36 | Node relationship created | us_inflation->us_inflation_impact_on_healthcare_stocks | type=INFLUENCES
2025-08-24T03:18:46 | Article replaced | us_inflation | old=S34YH4T0K new=S7M6BJSRT
2025-08-24T03:18:56 | Triggered rewrite | us_inflation | new_article=S7M6BJSRT
2025-08-24T03:27:34 | Saved analysis | us_inflation | field "fundamental_analysis" len=2533
2025-08-24T03:30:57 | Saved analysis | us_inflation | field "medium_analysis" len=3035
2025-08-24T03:44:36 | Node relationship removed | oil->usd | type=INFLUENCES
2025-08-24T03:44:36 | Node relationship created | oil->ecb_policy | type=INFLUENCES
2025-08-24T03:44:36 | Replacement of article skipped | oil | tf=medium cnt=2 < 5
2025-08-24T03:44:36 | Added article | 12F2707TI | to existing topic oil
2025-08-24T04:03:24 | Node relationship removed | us_inflation->core_monthly_cpi | type=INFLUENCES
2025-08-24T04:03:24 | Node relationship created | us_inflation->us_inflation_impact_on_bitcoin | type=INFLUENCES
2025-08-24T04:03:31 | Article replaced | us_inflation | old=M2PF568NP new=UPV3X2MQ6
2025-08-24T04:03:36 | Triggered rewrite | us_inflation | new_article=UPV3X2MQ6
2025-08-24T04:08:15 | Saved analysis | us_inflation | field "fundamental_analysis" len=3886
2025-08-24T04:11:13 | Saved analysis | us_inflation | field "medium_analysis" len=2954
2025-08-24T04:13:48 | Article replaced | usd | old=0U6CRXV41 new=8DSBDPAZ5
2025-08-24T04:13:51 | Triggered rewrite | usd | new_article=8DSBDPAZ5
2025-08-24T04:23:03 | Saved analysis | usd | field "fundamental_analysis" len=2561
2025-08-24T04:25:05 | Node relationship created | china_macro->us_china_trade_war_2025 | type=INFLUENCES
2025-08-24T04:25:05 | Replacement of article skipped | china_macro | tf=current cnt=3 < 5
2025-08-24T04:25:05 | Added article | 4WR2YCC7L | to existing topic china_macro
2025-08-24T04:31:44 | Node relationship removed | oil->wheat | type=INFLUENCES
2025-08-24T04:31:45 | Node relationship created | oil->usd | type=INFLUENCES
2025-08-24T04:31:45 | Replacement of article skipped | oil | tf=current cnt=3 < 5
2025-08-24T04:31:45 | Added article | ALAUOWTZ0 | to existing topic oil
2025-08-24T04:33:04 | Pipeline complete | pipeline | run complete
2025-08-24T04:33:05 | Retrieved articles | Intel Customer Investment | Retrieved 10 from API
2025-08-24T04:38:17 | Node relationship removed | oil->gold | type=INFLUENCES
2025-08-24T04:38:17 | Node relationship created | oil->wheat | type=INFLUENCES
2025-08-24T04:38:17 | Replacement of article skipped | oil | tf=current cnt=4 < 5
2025-08-24T04:38:17 | Added article | CWVWSACA7 | to existing topic oil
2025-08-24T04:39:38 | Node relationship removed | us_tariffs->us_tariff_policies | type=INFLUENCES
2025-08-24T04:39:38 | Node relationship created | us_tariffs->us_tariffs_brazil | type=INFLUENCES
2025-08-24T04:39:41 | No replacement of article | us_tariffs | new_article=CWVWSACA7
2025-08-24T04:39:41 | Added article | CWVWSACA7 | to existing topic us_tariffs
2025-08-24T05:01:53 | Pipeline complete | pipeline | run complete
2025-08-24T05:01:55 | Retrieved articles | iShares Bitcoin Trust Investments | Retrieved 10 from API
2025-08-24T05:34:45 | Node relationship removed | us_10y->us_inflation_impact_on_bitcoin | type=INFLUENCES
2025-08-24T05:34:46 | Node relationship created | us_10y->us_inflation_data | type=INFLUENCES
2025-08-24T05:34:54 | Article replaced | us_10y | old=08EIPMJ89 new=T2M26YXDG
2025-08-24T05:34:59 | Triggered rewrite | us_10y | new_article=T2M26YXDG
2025-08-24T05:37:38 | Saved analysis | us_10y | field "fundamental_analysis" len=2182
2025-08-24T05:40:13 | Saved analysis | us_10y | field "medium_analysis" len=2665
2025-08-24T05:43:43 | Saved analysis | us_10y | field "current_analysis" len=2160
2025-08-24T05:46:03 | Saved analysis | us_10y | field "drivers" len=2643
2025-08-24T05:47:24 | Saved analysis | us_10y | field "movers_scenarios" len=730
2025-08-24T05:50:46 | Saved analysis | us_10y | field "swing_trade_or_outlook" len=724
2025-08-24T05:54:51 | Saved analysis | us_10y | field "executive_summary" len=1222
2025-08-24T05:54:51 | Rewrite complete | us_10y | total_chars=12326
2025-08-24T05:54:51 | Added article | T2M26YXDG | to existing topic us_10y
2025-08-24T05:58:47 | Node relationship removed | us_inflation->stagflation | type=INFLUENCES
2025-08-24T05:58:48 | Node relationship created | us_inflation->eurusd | type=INFLUENCES
2025-08-24T05:58:55 | Article replaced | us_inflation | old=9RJE2UAZM new=T2M26YXDG
2025-08-24T05:58:59 | Triggered rewrite | us_inflation | new_article=T2M26YXDG
2025-08-24T06:06:44 | Saved analysis | us_inflation | field "fundamental_analysis" len=1927
2025-08-24T06:10:47 | Saved analysis | us_inflation | field "medium_analysis" len=2878
2025-08-24T06:10:47 | Pipeline complete | pipeline | run complete
2025-08-24T06:10:49 | Retrieved articles | EU Geopolitics in Ukraine Conflict | Retrieved 10 from API
2025-08-24T06:32:33 | Node relationship created | us_inflation->us_crime_rates_2024 | type=INFLUENCES
2025-08-24T06:32:33 | Replacement of article skipped | us_crime_rates_2024 | tf=current cnt=1 < 5
2025-08-24T06:32:33 | Added article | 4S007SRUL | to existing topic us_crime_rates_2024
2025-08-24T06:52:06 | Node relationship removed | us_inflation->us_crime_rates_2024 | type=INFLUENCES
2025-08-24T06:52:06 | Node relationship created | us_inflation->stagflation | type=INFLUENCES
2025-08-24T06:52:14 | Article replaced | us_inflation | old=MO5KYIB8Y new=UDJM89O62
2025-08-24T06:52:18 | Triggered rewrite | us_inflation | new_article=UDJM89O62
2025-08-24T06:56:37 | Saved analysis | us_inflation | field "fundamental_analysis" len=2388
2025-08-24T07:13:08 | Saved analysis | us_inflation | field "current_analysis" len=1735
2025-08-24T07:14:36 | Saved analysis | us_inflation | field "drivers" len=2068
2025-08-24T07:16:43 | Saved analysis | us_inflation | field "movers_scenarios" len=872
2025-08-24T07:22:46 | Saved analysis | us_inflation | field "swing_trade_or_outlook" len=622
2025-08-24T07:26:32 | Saved analysis | us_inflation | field "executive_summary" len=1547
2025-08-24T07:26:32 | Rewrite complete | us_inflation | total_chars=9232
2025-08-24T07:26:32 | Added article | UDJM89O62 | to existing topic us_inflation
2025-08-24T07:30:17 | Node relationship removed | us_10y->us_inflation_impact_on_stocks | type=INFLUENCES
2025-08-24T07:30:17 | Node relationship created | us_10y->us_inflation_stock_impact | type=INFLUENCES
2025-08-24T07:30:23 | Article replaced | us_10y | old=BZRD62M0Z new=UDJM89O62
2025-08-24T07:30:26 | Triggered rewrite | us_10y | new_article=UDJM89O62
2025-08-24T07:34:55 | Saved analysis | us_10y | field "fundamental_analysis" len=2997
2025-08-24T07:37:38 | Saved analysis | us_10y | field "medium_analysis" len=3381
2025-08-24T07:44:15 | Saved analysis | us_10y | field "current_analysis" len=1939
2025-08-24T07:46:26 | Saved analysis | us_10y | field "drivers" len=2801
2025-08-24T07:47:56 | Saved analysis | us_10y | field "movers_scenarios" len=585
2025-08-24T07:51:12 | Saved analysis | us_10y | field "swing_trade_or_outlook" len=533
2025-08-24T07:56:07 | Saved analysis | us_10y | field "executive_summary" len=1200
2025-08-24T07:56:08 | Rewrite complete | us_10y | total_chars=13436
2025-08-24T07:56:08 | Added article | UDJM89O62 | to existing topic us_10y
2025-08-24T07:58:32 | Pipeline complete | pipeline | run complete
2025-08-24T07:58:33 | Retrieved articles | US-Russia Cybersecurity Incident | Retrieved 10 from API
2025-08-24T08:08:07 | Node relationship created | openai_gpt5_competition->openai_valuation | type=INFLUENCES
2025-08-24T08:08:07 | Replacement of article skipped | openai_gpt5_competition | tf=current cnt=1 < 5
2025-08-24T08:08:07 | Added article | H45F44QRO | to existing topic openai_gpt5_competition
2025-08-24T08:18:02 | Node relationship removed | us_inflation->us_inflation_impact_on_stocks | type=INFLUENCES
2025-08-24T08:18:02 | Node relationship created | us_inflation->us_inflation_stock_impact | type=INFLUENCES
2025-08-24T08:18:08 | Article replaced | us_inflation | old=UDJM89O62 new=8J67I6RWY
2025-08-24T08:18:17 | Triggered rewrite | us_inflation | new_article=8J67I6RWY
2025-08-24T08:33:37 | Saved analysis | us_inflation | field "medium_analysis" len=1966
2025-08-24T08:35:41 | Node relationship removed | us_10y->us_inflation_data | type=INFLUENCES
2025-08-24T08:35:41 | Node relationship created | us_10y->us_inflation_impact_on_stocks | type=INFLUENCES
2025-08-24T08:35:42 | Replacement of article skipped | us_10y | tf=fundamental cnt=4 < 5
2025-08-24T08:35:42 | Added article | S5GX78VMT | to existing topic us_10y
2025-08-24T08:38:37 | Node relationship removed | us_inflation->us_inflation_stock_impact | type=INFLUENCES
2025-08-24T08:38:37 | Node relationship created | us_inflation->us_inflation_impact_on_stocks | type=INFLUENCES
2025-08-24T08:38:44 | Article replaced | us_inflation | old=YTHAU3SIB new=S5GX78VMT
2025-08-24T08:38:46 | Triggered rewrite | us_inflation | new_article=S5GX78VMT
2025-08-24T08:43:14 | Saved analysis | us_inflation | field "fundamental_analysis" len=2385
2025-08-24T08:50:04 | Saved analysis | us_inflation | field "medium_analysis" len=3257
2025-08-24T08:51:04 | Pipeline complete | pipeline | run complete
2025-08-24T08:51:05 | Retrieved articles | China Macro | Retrieved 10 from API
2025-08-24T09:03:40 | Topic rejected | name=NFL preseason winners, losers: Stars still await deals, but Jaxson Dart waits for no one | category=None | failure=proposal_null
2025-08-24T09:03:40 | Failed to create new topic for article | DRNTYX1R0 | to new topic None
2025-08-24T09:10:06 | Pipeline complete | pipeline | run complete
2025-08-24T09:10:07 | Retrieved articles | China Courtyard Economy | Retrieved 10 from API
2025-08-24T09:28:11 | Article replaced | us_inflation | old=9LQ0QNPWD new=V8TEZOR8R
2025-08-24T09:28:22 | Triggered rewrite | us_inflation | new_article=V8TEZOR8R
2025-08-24T09:33:24 | Saved analysis | us_inflation | field "fundamental_analysis" len=3822
2025-08-24T09:37:34 | Saved analysis | us_inflation | field "medium_analysis" len=2438
2025-08-24T09:38:41 | Pipeline complete | pipeline | run complete
2025-08-24T09:38:42 | Retrieved articles | Washington Winter Forecast 2025-2026 | Retrieved 10 from API
2025-08-24T09:46:18 | Retrieved articles | UK Dividend Stocks | Retrieved 10 from API
2025-08-24T09:46:18 | Retrieved articles | UK Dividend Stocks | Retrieved 10 from API
2025-08-24T09:47:36 | Pipeline complete | pipeline | run complete
2025-08-24T09:47:37 | Pipeline complete | pipeline | run complete
2025-08-24T09:47:37 | Retrieved articles | Healthtech Collaborations | Retrieved 10 from API
2025-08-24T09:47:38 | Retrieved articles | US Inflation Impact on Healthcare Stocks | Retrieved 10 from API
2025-08-24T09:58:58 | Retrieved articles | DTLA Office to Residential Conversion | Retrieved 10 from API
2025-08-24T09:58:59 | Retrieved articles | TCL Nxtpaper 11 Plus | Retrieved 10 from API
2025-08-24T10:02:50 | Node relationship created | us_cybersecurity_incidents->us_federal_court_cybersecurity | type=INFLUENCES
2025-08-24T10:02:50 | Replacement of article skipped | us_cybersecurity_incidents | tf=current cnt=1 < 5
2025-08-24T10:02:50 | Added article | 6289R5SVT | to existing topic us_cybersecurity_incidents
2025-08-24T10:03:09 | Node relationship created | smb_cloud_spend->ai_infrastructure | type=INFLUENCES
2025-08-24T10:03:09 | Replacement of article skipped | smb_cloud_spend | tf=current cnt=1 < 5
2025-08-24T10:03:10 | Added article | 8VMO3PFEO | to existing topic smb_cloud_spend
2025-08-24T10:03:15 | Node relationship created | interlock_cyberattack->third_party_vendor_risk | type=INFLUENCES
2025-08-24T10:03:15 | Replacement of article skipped | interlock_cyberattack | tf=current cnt=1 < 5
2025-08-24T10:03:15 | Added article | 6289R5SVT | to existing topic interlock_cyberattack
2025-08-24T10:03:51 | Node relationship created | ml_cybersecurity->third_party_cybersecurity_risks | type=INFLUENCES
2025-08-24T10:03:51 | Replacement of article skipped | ml_cybersecurity | tf=current cnt=1 < 5
2025-08-24T10:03:51 | Added article | 6289R5SVT | to existing topic ml_cybersecurity
2025-08-24T10:04:01 | Node relationship removed | us_inflation->us_inflation_impact_on_bitcoin | type=INFLUENCES
2025-08-24T10:04:02 | Node relationship created | us_inflation->core_cpi | type=INFLUENCES
2025-08-24T10:04:10 | Article replaced | us_inflation | old=KG6I1KTXK new=8VMO3PFEO
2025-08-24T10:04:16 | Triggered rewrite | us_inflation | new_article=8VMO3PFEO
2025-08-24T10:04:20 | Node relationship created | third_party_cybersecurity_risks->us_cybersecurity_incidents | type=INFLUENCES
2025-08-24T10:04:20 | Replacement of article skipped | third_party_cybersecurity_risks | tf=current cnt=2 < 5
2025-08-24T10:04:20 | Added article | 6289R5SVT | to existing topic third_party_cybersecurity_risks
2025-08-24T10:05:16 | Relationship duplicate | vaccine_misinformation->mental_health_gun_violence_covid_vaccine | type=INFLUENCES
2025-08-24T10:05:17 | Replacement of article skipped | mental_health_gun_violence_covid_vaccine | tf=fundamental cnt=1 < 5
2025-08-24T10:05:17 | Added article | 72L3EAB7H | to existing topic mental_health_gun_violence_covid_vaccine
2025-08-24T10:05:35 | Node relationship created | mental_health_violence->mental_health_gun_violence_covid_vaccine | type=INFLUENCES
2025-08-24T10:05:35 | Replacement of article skipped | mental_health_violence | tf=fundamental cnt=1 < 5
2025-08-24T10:05:35 | Added article | 72L3EAB7H | to existing topic mental_health_violence
2025-08-24T10:05:56 | Node relationship created | vaccine_misinformation->anti_vaccine_movement | type=INFLUENCES
2025-08-24T10:05:57 | Replacement of article skipped | vaccine_misinformation | tf=fundamental cnt=2 < 5
2025-08-24T10:05:57 | Added article | 72L3EAB7H | to existing topic vaccine_misinformation
2025-08-24T10:06:21 | Error | - | Relationship create error | vaccine_misinformation_impact->vaccine_misinformation_and_violence | type=INFLUENCES Error: Cannot create link: source or target node missing. Link: {'motivation': 'The impact of vaccine misinformation directly drives vaccine‑related violence, making the impact node a key driver of the viole
2025-08-24T10:06:28 | Saved analysis | us_inflation | field "fundamental_analysis" len=4891
2025-08-24T10:07:13 | Saved analysis | eurusd | field "fundamental_analysis" len=4895
2025-08-24T10:07:43 | Node relationship removed | us_border_security->us_tariffs_brazil | type=INFLUENCES
2025-08-24T10:07:43 | Node relationship created | us_border_security->immigration_detention_conditions | type=INFLUENCES
2025-08-24T10:07:43 | Replacement of article skipped | us_border_security | tf=current cnt=4 < 5
2025-08-24T10:07:43 | Added article | 28JN0D5JB | to existing topic us_border_security
2025-08-24T10:08:36 | Saved analysis | us_inflation | field "medium_analysis" len=6172
2025-08-24T10:08:43 | Node relationship created | south_china_sea_tensions->us_china_supply_chain_risks | type=INFLUENCES
2025-08-24T10:08:43 | Replacement of article skipped | south_china_sea_tensions | tf=fundamental cnt=2 < 5
2025-08-24T10:08:43 | Added article | N5CNJJE9J | to existing topic south_china_sea_tensions
2025-08-24T10:09:30 | Node relationship removed | china_macro->eurusd | type=INFLUENCES
2025-08-24T10:09:30 | Node relationship created | china_macro->china_ai_semiconductors | type=INFLUENCES
2025-08-24T10:09:38 | No replacement of article | china_macro | new_article=N5CNJJE9J
2025-08-24T10:09:39 | Added article | N5CNJJE9J | to existing topic china_macro
2025-08-24T10:09:41 | Saved analysis | eurusd | field "medium_analysis" len=5360
2025-08-24T10:10:30 | Node relationship created | third_party_cybersecurity_risks->interlock_cyberattack | type=INFLUENCES
2025-08-24T10:10:30 | Replacement of article skipped | third_party_cybersecurity_risks | tf=current cnt=3 < 5
2025-08-24T10:10:30 | Added article | R9VY14MO2 | to existing topic third_party_cybersecurity_risks
2025-08-24T10:10:58 | Node relationship created | us_cybersecurity_incidents->third_party_vendor_risk | type=INFLUENCES
2025-08-24T10:10:58 | Replacement of article skipped | us_cybersecurity_incidents | tf=current cnt=2 < 5
2025-08-24T10:10:58 | Added article | R9VY14MO2 | to existing topic us_cybersecurity_incidents
2025-08-24T10:11:07 | Saved analysis | us_inflation | field "current_analysis" len=2632
2025-08-24T10:11:18 | Node relationship created | interlock_cyberattack->hybrid_ad_environments | type=INFLUENCES
2025-08-24T10:11:19 | Replacement of article skipped | interlock_cyberattack | tf=current cnt=2 < 5
2025-08-24T10:11:19 | Added article | R9VY14MO2 | to existing topic interlock_cyberattack
2025-08-24T10:11:39 | Saved analysis | eurusd | field "current_analysis" len=2997
2025-08-24T10:12:14 | Node relationship created | technology_communications_sector->5g_infrastructure | type=INFLUENCES
2025-08-24T10:12:17 | Replacement of article skipped | technology_communications_sector | tf=current cnt=1 < 5
2025-08-24T10:12:19 | Added article | 7GZKAASFW | to existing topic technology_communications_sector
2025-08-24T10:12:49 | Node relationship created | mediaco_digital_revenue_growth->disney_streaming_consolidation | type=INFLUENCES
2025-08-24T10:12:50 | Replacement of article skipped | mediaco_digital_revenue_growth | tf=current cnt=1 < 5
2025-08-24T10:12:50 | Added article | 7GZKAASFW | to existing topic mediaco_digital_revenue_growth
2025-08-24T10:12:55 | Saved analysis | us_inflation | field "drivers" len=3303
2025-08-24T10:13:23 | Node relationship created | ai_in_entertainment->generative_ai_film | type=INFLUENCES
2025-08-24T10:13:23 | Replacement of article skipped | ai_in_entertainment | tf=current cnt=1 < 5
2025-08-24T10:13:23 | Added article | 7GZKAASFW | to existing topic ai_in_entertainment
2025-08-24T10:13:43 | Saved analysis | eurusd | field "drivers" len=3051
2025-08-24T10:14:37 | Pipeline complete | pipeline | run complete
2025-08-24T10:14:38 | Retrieved articles | LNG Projects 2026 | Retrieved 10 from API
2025-08-24T10:15:10 | Saved analysis | eurusd | field "movers_scenarios" len=1109
2025-08-24T10:15:21 | Saved analysis | us_inflation | field "movers_scenarios" len=1859
2025-08-24T10:16:57 | Node relationship created | us_cybersecurity_incidents->third_party_cybersecurity_risks | type=INFLUENCES
2025-08-24T10:16:57 | Replacement of article skipped | us_cybersecurity_incidents | tf=current cnt=3 < 5
2025-08-24T10:16:57 | Added article | CYDX0LJP4 | to existing topic us_cybersecurity_incidents
2025-08-24T10:17:14 | Saved analysis | us_inflation | field "swing_trade_or_outlook" len=986
2025-08-24T10:17:25 | Node relationship created | third_party_cybersecurity_risks->hybrid_ad_environments | type=INFLUENCES
2025-08-24T10:17:25 | Replacement of article skipped | third_party_cybersecurity_risks | tf=current cnt=4 < 5
2025-08-24T10:17:26 | Added article | CYDX0LJP4 | to existing topic third_party_cybersecurity_risks
2025-08-24T10:17:57 | Saved analysis | eurusd | field "swing_trade_or_outlook" len=1574
2025-08-24T10:18:48 | Node relationship created | mental_health_gun_violence_covid_vaccine->vaccine_misinformation | type=INFLUENCES
2025-08-24T10:18:48 | Replacement of article skipped | mental_health_gun_violence_covid_vaccine | tf=current cnt=1 < 5
2025-08-24T10:18:48 | Added article | WFSRL9G0C | to existing topic mental_health_gun_violence_covid_vaccine
2025-08-24T10:19:12 | Saved analysis | us_inflation | field "executive_summary" len=1153
2025-08-24T10:19:12 | Rewrite complete | us_inflation | total_chars=20996
2025-08-24T10:19:12 | Added article | 8VMO3PFEO | to existing topic us_inflation
2025-08-24T10:19:28 | Node relationship created | mental_health_violence->us_urban_crime | type=INFLUENCES
