2025-08-25T00:00:38 | Node relationship removed | us_inflation->us_inflation_stock_impact | type=INFLUENCES
2025-08-25T00:11:19 | Added article | OBQMETU6O | to existing topic technology_communications_sector
2025-08-25T00:11:49 | Node relationship created | fed_policy->utilities_healthcare_performance | type=INFLUENCES
2025-08-25T00:11:49 | Replacement of article skipped | utilities_healthcare_performance | tf=fundamental cnt=2 < 5
2025-08-25T00:11:49 | Added article | OBQMETU6O | to existing topic utilities_healthcare_performance
2025-08-25T00:12:02 | Saved analysis | us_inflation | field "swing_trade_or_outlook" len=1659
2025-08-25T00:12:27 | Replacement of article skipped | us_inflation_impact_on_stocks | tf=fundamental cnt=4 < 5
2025-08-25T00:12:27 | Added article | OBQMETU6O | to existing topic us_inflation_impact_on_stocks
2025-08-25T00:13:38 | Node relationship removed | us_inflation->us_inflation_impact_on_healthcare_stocks | type=INFLUENCES
2025-08-25T00:13:38 | Node relationship created | us_inflation->us_inflation_stock_impact | type=INFLUENCES
2025-08-25T00:13:45 | Article replaced | us_inflation | old=S15934PBQ new=LLN6N4H3Z
2025-08-25T00:13:51 | Triggered rewrite | us_inflation | new_article=LLN6N4H3Z
2025-08-25T00:13:57 | Saved analysis | us_inflation | field "executive_summary" len=1315
2025-08-25T00:13:57 | Rewrite complete | us_inflation | total_chars=26646
2025-08-25T00:13:57 | Added article | 1GVYF2V8O | to existing topic us_inflation
2025-08-25T00:14:16 | Node relationship created | core_monthly_cpi->us_inflation_data | type=INFLUENCES
2025-08-25T00:14:23 | No replacement of article | core_monthly_cpi | new_article=1GVYF2V8O
2025-08-25T00:14:28 | Triggered rewrite | core_monthly_cpi | new_article=1GVYF2V8O
2025-08-25T00:15:32 | Saved analysis | us_inflation | field "fundamental_analysis" len=6727
2025-08-25T00:16:21 | Saved analysis | core_monthly_cpi | field "fundamental_analysis" len=5516
2025-08-25T00:17:39 | Saved analysis | us_inflation | field "medium_analysis" len=3305
2025-08-25T00:17:51 | Saved analysis | core_monthly_cpi | field "medium_analysis" len=3319
2025-08-25T00:19:25 | Saved analysis | core_monthly_cpi | field "current_analysis" len=2542
2025-08-25T00:19:25 | Saved analysis | us_inflation | field "current_analysis" len=3775
2025-08-25T00:21:41 | Saved analysis | us_inflation | field "drivers" len=4305
2025-08-25T00:21:42 | Saved analysis | core_monthly_cpi | field "drivers" len=2603
2025-08-25T00:23:36 | Saved analysis | us_inflation | field "movers_scenarios" len=1481
2025-08-25T00:25:26 | Saved analysis | core_monthly_cpi | field "movers_scenarios" len=1114
2025-08-25T00:26:24 | Saved analysis | us_inflation | field "swing_trade_or_outlook" len=1780
2025-08-25T00:28:40 | Saved analysis | us_inflation | field "executive_summary" len=1673
2025-08-25T00:28:41 | Rewrite complete | us_inflation | total_chars=23046
2025-08-25T00:28:41 | Added article | LLN6N4H3Z | to existing topic us_inflation
2025-08-25T00:29:02 | Node relationship created | core_monthly_cpi->us_10y | type=INFLUENCES
2025-08-25T00:29:02 | Replacement of article skipped | core_monthly_cpi | tf=current cnt=2 < 5
2025-08-25T00:29:02 | Added article | LLN6N4H3Z | to existing topic core_monthly_cpi
2025-08-25T00:29:16 | Saved analysis | core_monthly_cpi | field "swing_trade_or_outlook" len=1417
2025-08-25T00:29:42 | Error | - | Relationship create error | core_cpi->us_inflation_and_stock_market_impact | type=INFLUENCES Error: Cannot create link: source or target node missing. Link: {'motivation': 'Core CPI is a primary driver of how inflation expectations translate into equity market performance; linking it to the aggregat
2025-08-25T00:29:42 | Pipeline complete | pipeline | run complete
2025-08-25T00:29:43 | Retrieved articles | US Photonics Market | Retrieved 10 from API
2025-08-25T00:31:49 | Node relationship created | espn_fox_bundle->disney_streaming_consolidation | type=PEERS
2025-08-25T00:31:49 | Replacement of article skipped | sports_broadcasting_act | tf=current cnt=2 < 5
2025-08-25T00:31:49 | Added article | B9XELD9XC | to existing topic sports_broadcasting_act
2025-08-25T00:32:02 | Saved analysis | core_monthly_cpi | field "executive_summary" len=2430
2025-08-25T00:32:02 | Rewrite complete | core_monthly_cpi | total_chars=18941
2025-08-25T00:32:02 | Added article | 1GVYF2V8O | to existing topic core_monthly_cpi
2025-08-25T00:32:40 | Node relationship created | core_cpi->usd | type=INFLUENCES
2025-08-25T00:32:47 | No replacement of article | core_cpi | new_article=1GVYF2V8O
2025-08-25T00:32:56 | Triggered rewrite | core_cpi | new_article=1GVYF2V8O
2025-08-25T00:33:26 | Node relationship removed | ukraine_geopolitics->ukraine_post_war_instability | type=INFLUENCES
2025-08-25T00:33:26 | Node relationship created | ukraine_geopolitics->ukraine_peace_negotiations | type=INFLUENCES
2025-08-25T00:33:37 | No replacement of article | ukraine_geopolitics | new_article=Z420U7RJB
2025-08-25T00:33:37 | Added article | Z420U7RJB | to existing topic ukraine_geopolitics
2025-08-25T00:34:11 | Node relationship removed | ukraine_conflict->oil | type=INFLUENCES
2025-08-25T00:34:11 | Node relationship created | ukraine_conflict->ukraine_post_war_instability | type=INFLUENCES
2025-08-25T00:34:17 | No replacement of article | ukraine_conflict | new_article=Z420U7RJB
2025-08-25T00:34:17 | Added article | Z420U7RJB | to existing topic ukraine_conflict
2025-08-25T00:34:46 | Node relationship removed | us_russia_relations->trump_putin_summit | type=INFLUENCES
2025-08-25T00:34:46 | Node relationship created | us_russia_relations->trump_putin_meeting | type=INFLUENCES
2025-08-25T00:34:52 | No replacement of article | us_russia_relations | new_article=Z420U7RJB
2025-08-25T00:34:52 | Added article | Z420U7RJB | to existing topic us_russia_relations
2025-08-25T00:35:25 | Node relationship created | eu_geopolitics_ukraine->ukraine_post_war_instability | type=INFLUENCES
2025-08-25T00:35:25 | Replacement of article skipped | eu_geopolitics_ukraine | tf=current cnt=4 < 5
2025-08-25T00:35:26 | Added article | Z420U7RJB | to existing topic eu_geopolitics_ukraine
2025-08-25T00:35:44 | Saved analysis | core_cpi | field "fundamental_analysis" len=3702
2025-08-25T00:36:07 | Node relationship created | trump_putin_summit->ukraine_diplomacy | type=INFLUENCES
2025-08-25T00:36:08 | Replacement of article skipped | trump_putin_summit | tf=current cnt=2 < 5
2025-08-25T00:36:08 | Added article | Z420U7RJB | to existing topic trump_putin_summit
2025-08-25T00:36:44 | Node relationship removed | ukraine_peace_negotiations->ukraine_land_swapping | type=INFLUENCES
2025-08-25T00:36:44 | Node relationship created | ukraine_peace_negotiations->donbas_region | type=INFLUENCES
2025-08-25T00:36:51 | No replacement of article | ukraine_peace_negotiations | new_article=Z420U7RJB
2025-08-25T00:36:57 | Triggered rewrite | ukraine_peace_negotiations | new_article=Z420U7RJB
2025-08-25T00:37:11 | Pipeline complete | pipeline | run complete
2025-08-25T00:37:13 | Retrieved articles | Trump Regulatory Pressure | Retrieved 10 from API
2025-08-25T00:37:56 | Saved analysis | core_cpi | field "medium_analysis" len=4758
2025-08-25T00:39:14 | Saved analysis | core_cpi | field "current_analysis" len=2111
2025-08-25T00:41:02 | Node relationship created | saudi_vision_2030->sustainability_leadership | type=INFLUENCES
2025-08-25T00:41:02 | Replacement of article skipped | saudi_vision_2030 | tf=current cnt=2 < 5
2025-08-25T00:41:02 | Added article | TAJ7B50DF | to existing topic saudi_vision_2030
2025-08-25T00:41:12 | Saved analysis | core_cpi | field "drivers" len=2694
2025-08-25T00:41:59 | Node relationship created | mexico_cartel_extraditions->us_mexico_cartel_terrorism | type=INFLUENCES
2025-08-25T00:41:59 | Replacement of article skipped | mexico_cartel_extraditions | tf=current cnt=1 < 5
2025-08-25T00:41:59 | Added article | 8ORA7QA8E | to existing topic mexico_cartel_extraditions
2025-08-25T00:42:16 | Node relationship created | cartel_terrorism->us_border_security_policy | type=INFLUENCES
2025-08-25T00:42:16 | Replacement of article skipped | cartel_terrorism | tf=current cnt=2 < 5
2025-08-25T00:42:16 | Added article | 8ORA7QA8E | to existing topic cartel_terrorism
2025-08-25T00:42:40 | Node relationship removed | us_border_security->national_guard_dc_deployment | type=INFLUENCES
2025-08-25T00:42:40 | Node relationship created | us_border_security->canadian_us_travel_boycott | type=INFLUENCES
2025-08-25T00:42:46 | No replacement of article | us_border_security | new_article=8ORA7QA8E
2025-08-25T00:42:46 | Added article | 8ORA7QA8E | to existing topic us_border_security
2025-08-25T00:43:21 | Saved analysis | core_cpi | field "movers_scenarios" len=1408
2025-08-25T00:44:23 | Node relationship removed | us_inflation->euro_inflation | type=INFLUENCES
2025-08-25T00:44:23 | Node relationship created | us_inflation->30yr_tips_auction | type=INFLUENCES
2025-08-25T00:44:33 | Article replaced | us_inflation | old=6WRONTAG1 new=218AGGUXB
2025-08-25T00:44:41 | Triggered rewrite | us_inflation | new_article=218AGGUXB
2025-08-25T00:45:56 | Saved analysis | core_cpi | field "swing_trade_or_outlook" len=1392
2025-08-25T00:46:45 | Saved analysis | us_inflation | field "fundamental_analysis" len=5502
2025-08-25T00:47:50 | Saved analysis | core_cpi | field "executive_summary" len=1659
2025-08-25T00:47:50 | Rewrite complete | core_cpi | total_chars=17724
2025-08-25T00:47:50 | Added article | 1GVYF2V8O | to existing topic core_cpi
2025-08-25T00:48:35 | Node relationship removed | us_inflation_data->us_tariffs_pharmaceuticals_semiconductors | type=INFLUENCES
2025-08-25T00:48:35 | Node relationship created | us_inflation_data->stagflation | type=INFLUENCES
2025-08-25T00:48:41 | No replacement of article | us_inflation_data | new_article=1GVYF2V8O
2025-08-25T00:48:46 | Triggered rewrite | us_inflation_data | new_article=1GVYF2V8O
2025-08-25T00:49:18 | Saved analysis | us_inflation | field "medium_analysis" len=5855
2025-08-25T00:51:03 | Saved analysis | us_inflation | field "current_analysis" len=4752
2025-08-25T00:51:44 | Saved analysis | us_inflation_data | field "fundamental_analysis" len=4489
2025-08-25T00:52:52 | Node relationship removed | oil->saudi_vision_2030 | type=INFLUENCES
2025-08-25T00:52:52 | Node relationship created | oil->conocophillips_dividend_policy | type=INFLUENCES
2025-08-25T00:52:59 | No replacement of article | oil | new_article=2KTE25NMW
2025-08-25T00:52:59 | Added article | 2KTE25NMW | to existing topic oil
2025-08-25T00:53:00 | Saved analysis | us_inflation | field "drivers" len=3564
2025-08-25T00:53:27 | Node relationship created | israeli_palestinian_policy->middle_east_sovereign_funds | type=INFLUENCES
2025-08-25T00:53:27 | Replacement of article skipped | israeli_palestinian_policy | tf=current cnt=2 < 5
2025-08-25T00:53:27 | Added article | 2KTE25NMW | to existing topic israeli_palestinian_policy
2025-08-25T00:54:43 | Node relationship removed | fed_policy->utilities_healthcare_performance | type=INFLUENCES
2025-08-25T00:54:43 | Node relationship created | fed_policy->eurusd | type=INFLUENCES
2025-08-25T00:54:48 | No replacement of article | fed_policy | new_article=EG8CZY90S
2025-08-25T00:54:48 | Added article | EG8CZY90S | to existing topic fed_policy
2025-08-25T00:54:50 | Saved analysis | us_inflation | field "movers_scenarios" len=1418
2025-08-25T00:55:35 | Node relationship removed | us_inflation->30yr_tips_auction | type=INFLUENCES
2025-08-25T00:55:35 | Node relationship created | us_inflation->us_inflation_impact_on_bitcoin | type=INFLUENCES
2025-08-25T00:55:42 | No replacement of article | us_inflation | new_article=EG8CZY90S
2025-08-25T00:55:42 | Added article | EG8CZY90S | to existing topic us_inflation
2025-08-25T00:56:43 | Node relationship removed | sp500->us_chip_export_controls | type=INFLUENCES
2025-08-25T00:56:44 | Node relationship created | sp500->us_stock_buybacks | type=INFLUENCES
2025-08-25T00:56:50 | No replacement of article | sp500 | new_article=EG8CZY90S
2025-08-25T00:56:50 | Added article | EG8CZY90S | to existing topic sp500
2025-08-25T00:57:28 | Node relationship removed | us_10y->sp500 | type=INFLUENCES
2025-08-25T00:57:28 | Node relationship created | us_10y->30yr_tips_auction | type=INFLUENCES
2025-08-25T00:57:33 | Saved analysis | us_inflation | field "swing_trade_or_outlook" len=1238
2025-08-25T00:57:36 | No replacement of article | us_10y | new_article=EG8CZY90S
2025-08-25T00:57:36 | Added article | EG8CZY90S | to existing topic us_10y
2025-08-25T00:58:29 | Node relationship removed | us_tariffs->us_tariffs_semiconductors | type=INFLUENCES
2025-08-25T00:58:30 | Node relationship created | us_tariffs->us_10y | type=INFLUENCES
2025-08-25T00:58:34 | No replacement of article | us_tariffs | new_article=EG8CZY90S
2025-08-25T00:58:34 | Added article | EG8CZY90S | to existing topic us_tariffs
2025-08-25T00:59:14 | Node relationship removed | us_china_trade_talks->us_china_export_controls | type=INFLUENCES
2025-08-25T00:59:14 | Node relationship created | us_china_trade_talks->china_us_tariff_truce | type=INFLUENCES
2025-08-25T00:59:19 | No replacement of article | us_china_trade_talks | new_article=EG8CZY90S
2025-08-25T00:59:27 | Triggered rewrite | us_china_trade_talks | new_article=EG8CZY90S
2025-08-25T00:59:35 | Saved analysis | us_inflation | field "executive_summary" len=1584
2025-08-25T00:59:35 | Rewrite complete | us_inflation | total_chars=23913
2025-08-25T00:59:35 | Added article | 218AGGUXB | to existing topic us_inflation
2025-08-25T01:00:03 | Node relationship created | stagflation->us_inflation_impact_on_stocks | type=INFLUENCES
2025-08-25T01:00:03 | Replacement of article skipped | stagflation | tf=current cnt=1 < 5
2025-08-25T01:00:03 | Added article | 218AGGUXB | to existing topic stagflation
2025-08-25T01:00:54 | Node relationship removed | fed_policy->30yr_tips_auction | type=INFLUENCES
2025-08-25T01:00:54 | Node relationship created | fed_policy->lower_interest_rates | type=INFLUENCES
2025-08-25T01:00:59 | Saved analysis | us_china_trade_talks | field "fundamental_analysis" len=4966
2025-08-25T01:01:00 | No replacement of article | fed_policy | new_article=218AGGUXB
2025-08-25T01:01:00 | Added article | 218AGGUXB | to existing topic fed_policy
2025-08-25T01:01:45 | Node relationship removed | trump_tariffs->us_tariffs_pharmaceuticals_semiconductors | type=INFLUENCES
2025-08-25T01:01:45 | Node relationship created | trump_tariffs->us_tariffs | type=INFLUENCES
2025-08-25T01:01:51 | No replacement of article | trump_tariffs | new_article=218AGGUXB
2025-08-25T01:01:51 | Added article | 218AGGUXB | to existing topic trump_tariffs
2025-08-25T01:02:21 | Saved analysis | us_china_trade_talks | field "medium_analysis" len=7106
2025-08-25T01:02:27 | Node relationship created | nvidia_ai_infrastructure->us_export_policy_ai_chips | type=INFLUENCES
2025-08-25T01:02:27 | Replacement of article skipped | nvidia_ai_infrastructure | tf=current cnt=3 < 5
2025-08-25T01:02:27 | Added article | 218AGGUXB | to existing topic nvidia_ai_infrastructure
2025-08-25T01:03:01 | Node relationship created | apple_us_manufacturing->us_chip_trade_china | type=INFLUENCES
2025-08-25T01:03:01 | Replacement of article skipped | apple_us_manufacturing | tf=current cnt=1 < 5
2025-08-25T01:03:01 | Added article | 218AGGUXB | to existing topic apple_us_manufacturing
2025-08-25T01:04:05 | Saved analysis | us_china_trade_talks | field "current_analysis" len=6793
2025-08-25T01:04:25 | Node relationship removed | us_inflation->us_inflation_impact_on_bitcoin | type=INFLUENCES
2025-08-25T01:04:25 | Node relationship created | us_inflation->us_inflation_impact_on_healthcare_stocks | type=INFLUENCES
2025-08-25T01:04:34 | Article replaced | us_inflation | old=6OOEK8TUR new=A6V3EB8XL
2025-08-25T01:04:41 | Triggered rewrite | us_inflation | new_article=A6V3EB8XL
2025-08-25T01:05:33 | Saved analysis | us_china_trade_talks | field "drivers" len=1972
2025-08-25T01:06:36 | Saved analysis | us_inflation | field "fundamental_analysis" len=3565
2025-08-25T01:07:30 | Saved analysis | us_china_trade_talks | field "movers_scenarios" len=1258
2025-08-25T01:08:34 | Saved analysis | us_inflation | field "medium_analysis" len=5539
2025-08-25T01:10:21 | Saved analysis | us_china_trade_talks | field "swing_trade_or_outlook" len=1305
2025-08-25T01:10:41 | Saved analysis | us_inflation | field "current_analysis" len=4271
2025-08-25T01:12:03 | Saved analysis | us_china_trade_talks | field "executive_summary" len=1581
2025-08-25T01:12:03 | Rewrite complete | us_china_trade_talks | total_chars=24981
2025-08-25T01:12:03 | Added article | EG8CZY90S | to existing topic us_china_trade_talks
2025-08-25T01:12:41 | Saved analysis | us_inflation | field "drivers" len=3718
2025-08-25T01:12:41 | Node relationship created | us_inflation_impact_on_stocks->oil | type=INFLUENCES
2025-08-25T01:12:42 | Replacement of article skipped | us_inflation_impact_on_stocks | tf=current cnt=1 < 5
2025-08-25T01:12:42 | Added article | EG8CZY90S | to existing topic us_inflation_impact_on_stocks
2025-08-25T01:13:35 | Node relationship removed | us_china_trade_relations->us_china_trade_war_2025 | type=INFLUENCES
2025-08-25T01:13:36 | Node relationship created | us_china_trade_relations->us_chip_export_controls | type=INFLUENCES
2025-08-25T01:13:36 | Replacement of article skipped | us_china_trade_relations | tf=current cnt=3 < 5
2025-08-25T01:13:36 | Added article | EG8CZY90S | to existing topic us_china_trade_relations
2025-08-25T01:14:24 | Node relationship removed | trump_tariffs->us_china_trade_talks | type=INFLUENCES
2025-08-25T01:14:25 | Node relationship created | trump_tariffs->tariff_driven_inflation | type=INFLUENCES
2025-08-25T01:14:30 | No replacement of article | trump_tariffs | new_article=EG8CZY90S
2025-08-25T01:14:30 | Added article | EG8CZY90S | to existing topic trump_tariffs
2025-08-25T01:15:02 | Saved analysis | us_inflation | field "movers_scenarios" len=1014
2025-08-25T01:15:08 | Node relationship created | nvidia_ai_infrastructure->us_data_centers_electricity_impact | type=INFLUENCES
2025-08-25T01:15:08 | Replacement of article skipped | nvidia_ai_infrastructure | tf=current cnt=3 < 5
2025-08-25T01:15:08 | Added article | EG8CZY90S | to existing topic nvidia_ai_infrastructure
2025-08-25T01:15:33 | Node relationship created | alphabet_ai_gemini->ai_productivity | type=INFLUENCES
2025-08-25T01:15:33 | Replacement of article skipped | alphabet_ai_gemini | tf=current cnt=1 < 5
2025-08-25T01:15:33 | Added article | EG8CZY90S | to existing topic alphabet_ai_gemini
2025-08-25T01:16:11 | Node relationship created | apple_us_manufacturing->us_chip_exports_china | type=INFLUENCES
2025-08-25T01:16:11 | Replacement of article skipped | apple_us_manufacturing | tf=current cnt=1 < 5
2025-08-25T01:16:11 | Added article | EG8CZY90S | to existing topic apple_us_manufacturing
2025-08-25T01:16:45 | Node relationship created | apple_airpods_pro_2->airpods_live_translation | type=INFLUENCES
2025-08-25T01:16:45 | Replacement of article skipped | apple_airpods_pro_2 | tf=current cnt=1 < 5
2025-08-25T01:16:45 | Added article | EG8CZY90S | to existing topic apple_airpods_pro_2
2025-08-25T01:17:24 | Node relationship created | amazon_growth_segments->nvidia_ai_infrastructure | type=INFLUENCES
2025-08-25T01:17:24 | Replacement of article skipped | amazon_growth_segments | tf=current cnt=0 < 5
2025-08-25T01:17:24 | Added article | EG8CZY90S | to existing topic amazon_growth_segments
2025-08-25T01:17:59 | Node relationship created | intel_ceo_tan->us_tariffs_semiconductors | type=INFLUENCES
2025-08-25T01:17:59 | Replacement of article skipped | intel_ceo_tan | tf=current cnt=2 < 5
2025-08-25T01:17:59 | Added article | EG8CZY90S | to existing topic intel_ceo_tan
2025-08-25T01:18:01 | Saved analysis | us_inflation | field "swing_trade_or_outlook" len=1649
2025-08-25T01:18:39 | Node relationship created | intel_ceo_management->us_chip_exports_china | type=INFLUENCES
2025-08-25T01:18:39 | Replacement of article skipped | intel_ceo_management | tf=current cnt=1 < 5
2025-08-25T01:18:39 | Added article | EG8CZY90S | to existing topic intel_ceo_management
2025-08-25T01:19:21 | Node relationship created | us_tariffs_semiconductors->tariff_driven_inflation | type=INFLUENCES
2025-08-25T01:19:21 | Replacement of article skipped | us_tariffs_semiconductors | tf=current cnt=1 < 5
2025-08-25T01:19:21 | Added article | EG8CZY90S | to existing topic us_tariffs_semiconductors
2025-08-25T01:20:05 | Saved analysis | us_inflation | field "executive_summary" len=1066
2025-08-25T01:20:05 | Rewrite complete | us_inflation | total_chars=20822
2025-08-25T01:20:06 | Added article | A6V3EB8XL | to existing topic us_inflation
2025-08-25T01:20:10 | Node relationship created | us_tariffs_on_technology->us_chip_export_tax | type=INFLUENCES
2025-08-25T01:20:11 | Replacement of article skipped | us_tariffs_on_technology | tf=current cnt=2 < 5
2025-08-25T01:20:11 | Added article | EG8CZY90S | to existing topic us_tariffs_on_technology
2025-08-25T01:20:51 | Node relationship removed | us_inflation_stock_impact->us_inflation_impact_on_stocks | type=INFLUENCES
2025-08-25T01:20:51 | Node relationship created | us_inflation_stock_impact->core_monthly_cpi | type=INFLUENCES
2025-08-25T01:20:51 | Replacement of article skipped | us_inflation_stock_impact | tf=current cnt=0 < 5
2025-08-25T01:20:51 | Added article | EG8CZY90S | to existing topic us_inflation_stock_impact
2025-08-25T01:20:51 | Pipeline complete | pipeline | run complete
2025-08-25T01:20:52 | Retrieved articles | India Ethanol Impact on Oilseeds | Retrieved 10 from API
2025-08-25T01:20:57 | Node relationship removed | fed_policy->lower_interest_rates | type=INFLUENCES
2025-08-25T01:20:57 | Node relationship created | fed_policy->us_inflation_stock_impact | type=INFLUENCES
2025-08-25T01:21:03 | No replacement of article | fed_policy | new_article=A6V3EB8XL
2025-08-25T01:21:03 | Added article | A6V3EB8XL | to existing topic fed_policy
2025-08-25T01:22:07 | Node relationship removed | us_inflation_data->stagflation | type=INFLUENCES
2025-08-25T01:22:07 | Node relationship created | us_inflation_data->us_inflation_impact_on_bitcoin | type=INFLUENCES
2025-08-25T01:22:07 | Replacement of article skipped | us_inflation_data | tf=current cnt=3 < 5
2025-08-25T01:22:07 | Added article | A6V3EB8XL | to existing topic us_inflation_data
2025-08-25T01:22:41 | Node relationship removed | core_monthly_cpi->core_cpi | type=INFLUENCES
2025-08-25T01:22:41 | Node relationship created | core_monthly_cpi->tariff_driven_inflation | type=INFLUENCES
2025-08-25T01:22:41 | Replacement of article skipped | core_monthly_cpi | tf=current cnt=2 < 5
2025-08-25T01:22:41 | Added article | A6V3EB8XL | to existing topic core_monthly_cpi
2025-08-25T01:23:31 | Node relationship removed | us_treasury_yields->gold | type=INFLUENCES
2025-08-25T01:23:31 | Node relationship created | us_treasury_yields->30yr_tips_auction | type=INFLUENCES
2025-08-25T01:23:31 | Replacement of article skipped | us_treasury_yields | tf=current cnt=2 < 5
2025-08-25T01:23:31 | Added article | A6V3EB8XL | to existing topic us_treasury_yields
2025-08-25T01:25:17 | Node relationship removed | us_inflation->us_inflation_impact_on_healthcare_stocks | type=INFLUENCES
2025-08-25T01:25:17 | Node relationship created | us_inflation->us_inflation_impact_on_bitcoin | type=INFLUENCES
2025-08-25T01:25:24 | Article replaced | us_inflation | old=WTNT85IPR new=YQOMV2HAJ
2025-08-25T01:25:30 | Triggered rewrite | us_inflation | new_article=YQOMV2HAJ
2025-08-25T01:26:29 | Node relationship created | ether_price_surge->crypto_security_threats | type=INFLUENCES
2025-08-25T01:26:29 | Replacement of article skipped | ether_price_surge | tf=fundamental cnt=1 < 5
2025-08-25T01:26:30 | Added article | OGK8WLL69 | to existing topic ether_price_surge
2025-08-25T01:27:09 | Node relationship created | stablecoin_impact_on_banking->payments_partnerships | type=INFLUENCES
2025-08-25T01:27:09 | Replacement of article skipped | stablecoin_impact_on_banking | tf=fundamental cnt=3 < 5
2025-08-25T01:27:09 | Added article | OGK8WLL69 | to existing topic stablecoin_impact_on_banking
2025-08-25T01:27:30 | Saved analysis | us_inflation | field "fundamental_analysis" len=5009
2025-08-25T01:27:46 | Node relationship removed | fed_policy->us_inflation_stock_impact | type=INFLUENCES
2025-08-25T01:27:46 | Node relationship created | fed_policy->gold | type=INFLUENCES
2025-08-25T01:27:51 | No replacement of article | fed_policy | new_article=OGK8WLL69
2025-08-25T01:27:51 | Added article | OGK8WLL69 | to existing topic fed_policy
2025-08-25T01:28:43 | Node relationship removed | us_inflation->us_inflation_impact_on_bitcoin | type=INFLUENCES
2025-08-25T01:28:44 | Node relationship created | us_inflation->us_inflation_impact_on_healthcare_stocks | type=INFLUENCES
2025-08-25T01:28:53 | Article replaced | us_inflation | old=JHGBQ4TQH new=OGK8WLL69
2025-08-25T01:29:01 | Triggered rewrite | us_inflation | new_article=OGK8WLL69
2025-08-25T01:30:18 | Saved analysis | us_inflation | field "medium_analysis" len=4161
2025-08-25T01:31:12 | Saved analysis | us_inflation | field "fundamental_analysis" len=5543
2025-08-25T01:32:15 | Saved analysis | us_inflation | field "current_analysis" len=4428
2025-08-25T01:34:13 | Saved analysis | us_inflation | field "drivers" len=4589
2025-08-25T01:34:43 | Saved analysis | us_inflation | field "medium_analysis" len=6863
2025-08-25T01:36:27 | Saved analysis | us_inflation | field "movers_scenarios" len=923
2025-08-25T01:36:41 | Saved analysis | us_inflation | field "current_analysis" len=4377
2025-08-25T01:38:46 | Saved analysis | us_inflation | field "drivers" len=5084
2025-08-25T01:39:40 | Saved analysis | us_inflation | field "swing_trade_or_outlook" len=1877
2025-08-25T01:40:03 | Saved analysis | us_inflation | field "movers_scenarios" len=1025
2025-08-25T01:41:56 | Saved analysis | us_inflation | field "executive_summary" len=1634
2025-08-25T01:41:56 | Rewrite complete | us_inflation | total_chars=22621
2025-08-25T01:41:56 | Added article | YQOMV2HAJ | to existing topic us_inflation
2025-08-25T01:42:43 | Saved analysis | us_inflation | field "swing_trade_or_outlook" len=1660
2025-08-25T01:42:44 | Node relationship removed | core_monthly_cpi->stagflation | type=INFLUENCES
2025-08-25T01:42:44 | Node relationship created | core_monthly_cpi->us_inflation_impact_on_stocks | type=INFLUENCES
2025-08-25T01:42:44 | Replacement of article skipped | core_monthly_cpi | tf=medium cnt=2 < 5
