2025-09-03T00:01:55 | Node relationship removed | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T00:52:17 | Replacement of article skipped | fed_policy | no competing candidates in timeframe medium
2025-09-03T00:52:17 | Added article | 367GLEXW8 | to existing topic fed_policy
2025-09-03T00:53:17 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T00:53:17 | Added article | V1300IPRU | to existing topic fed_policy
2025-09-03T00:53:21 | Replacement of article skipped | us_inflation | no competing candidates in timeframe medium
2025-09-03T00:53:21 | Added article | 367GLEXW8 | to existing topic us_inflation
2025-09-03T00:53:23 | Enrichment check | brent | section=fundamental
2025-09-03T00:53:23 | Enrichment check | brent | section=medium
2025-09-03T00:53:24 | Enrichment check | brent | section=current
2025-09-03T00:53:24 | Enrichment summary | topic=brent (Brent Crude Oil) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T00:53:24 | Pipeline complete | pipeline | run complete
2025-09-03T00:53:25 | Retrieved articles | SOFR | Retrieved 10 from API
2025-09-03T00:55:25 | Node relationship removed | ust10y->oil_price_decline | type=CORRELATES_WITH
2025-09-03T00:55:25 | Node relationship created | ust10y->jgb10y | type=CORRELATES_WITH
2025-09-03T00:55:25 | Replacement of article skipped | ust10y | no competing candidates in timeframe medium
2025-09-03T00:55:26 | Added article | 367GLEXW8 | to existing topic ust10y
2025-09-03T00:56:20 | Node relationship removed | ust2y->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T00:56:20 | Node relationship created | ust2y->us_unemployment_claims | type=INFLUENCES
2025-09-03T00:56:20 | Replacement of article skipped | ust2y | no competing candidates in timeframe medium
2025-09-03T00:56:20 | Added article | 367GLEXW8 | to existing topic ust2y
2025-09-03T00:58:21 | Node relationship removed | dxy->gilt10y | type=INFLUENCES
2025-09-03T00:58:21 | Relationship duplicate | oil_price_decline->dxy | type=INFLUENCES
2025-09-03T00:58:21 | Replacement of article skipped | dxy | no competing candidates in timeframe medium
2025-09-03T00:58:21 | Added article | 367GLEXW8 | to existing topic dxy
2025-09-03T00:59:09 | Node relationship created | usdjpy->gbpusd | type=PEERS
2025-09-03T00:59:09 | Replacement of article skipped | usdjpy | tf=medium cnt=3 < 5
2025-09-03T00:59:09 | Added article | 367GLEXW8 | to existing topic usdjpy
2025-09-03T01:00:27 | Node relationship removed | eurusd->ust30y | type=CORRELATES_WITH
2025-09-03T01:00:27 | Node relationship created | eurusd->usdcny | type=CORRELATES_WITH
2025-09-03T01:00:27 | Replacement of article skipped | eurusd | tf=medium cnt=3 < 5
2025-09-03T01:00:27 | Added article | 367GLEXW8 | to existing topic eurusd
2025-09-03T01:03:20 | Node relationship created | gold->us_unemployment_claims | type=INFLUENCES
2025-09-03T01:03:20 | Replacement of article skipped | gold | no competing candidates in timeframe medium
2025-09-03T01:03:20 | Added article | 367GLEXW8 | to existing topic gold
2025-09-03T01:04:29 | Node relationship removed | wti->ust30y | type=INFLUENCES
2025-09-03T01:04:29 | Node relationship created | wti->usdcny | type=INFLUENCES
2025-09-03T01:04:29 | Replacement of article skipped | wti | tf=medium cnt=3 < 5
2025-09-03T01:04:29 | Added article | 367GLEXW8 | to existing topic wti
2025-09-03T01:06:41 | Node relationship removed | spx->us_unemployment_claims | type=CORRELATES_WITH
2025-09-03T01:06:41 | Node relationship created | spx->gold | type=CORRELATES_WITH
2025-09-03T01:06:41 | Replacement of article skipped | spx | no competing candidates in timeframe current
2025-09-03T01:06:41 | Added article | 6P6V9JIN4 | to existing topic spx
2025-09-03T01:06:54 | Node relationship removed | brent->wti | type=INFLUENCES
2025-09-03T01:06:54 | Node relationship created | brent->fed_policy | type=INFLUENCES
2025-09-03T01:06:54 | Replacement of article skipped | brent | tf=medium cnt=2 < 5
2025-09-03T01:06:54 | Added article | 367GLEXW8 | to existing topic brent
2025-09-03T01:08:28 | Node relationship removed | ust10y->gilt10y | type=CORRELATES_WITH
2025-09-03T01:08:28 | Node relationship created | ust10y->oil_price_decline | type=CORRELATES_WITH
2025-09-03T01:08:29 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T01:08:29 | Added article | 6P6V9JIN4 | to existing topic ust10y
2025-09-03T01:08:37 | Node relationship removed | spx->gold | type=CORRELATES_WITH
2025-09-03T01:08:37 | Node relationship created | spx->us_unemployment_claims | type=CORRELATES_WITH
2025-09-03T01:08:38 | Replacement of article skipped | spx | no competing candidates in timeframe medium
2025-09-03T01:08:38 | Added article | 367GLEXW8 | to existing topic spx
2025-09-03T01:08:38 | Error | - | find_influences_and_correlates skipped: Topic missing | topic_id=ndx Error: Failed to fetch node from Neo4j: Node with id 'ndx' not found.
2025-09-03T01:08:38 | Replacement of article skipped | ndx | tf=medium cnt=0 < 5
2025-09-03T01:08:38 | Added article | 367GLEXW8 | to existing topic ndx
2025-09-03T01:09:57 | Node relationship removed | ust2y->gbpusd | type=INFLUENCES
2025-09-03T01:09:57 | Node relationship created | ust2y->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T01:09:58 | Replacement of article skipped | ust2y | no competing candidates in timeframe current
2025-09-03T01:09:58 | Added article | 6P6V9JIN4 | to existing topic ust2y
2025-09-03T01:10:11 | Node relationship removed | us_services_pmi->ust30y | type=INFLUENCES
2025-09-03T01:10:11 | Node relationship created | us_services_pmi->us_unemployment_claims | type=INFLUENCES
2025-09-03T01:10:11 | Replacement of article skipped | us_services_pmi | tf=medium cnt=2 < 5
2025-09-03T01:10:11 | Added article | 367GLEXW8 | to existing topic us_services_pmi
2025-09-03T01:12:06 | Replacement of article skipped | ust5y | no competing candidates in timeframe current
2025-09-03T01:12:06 | Added article | 6P6V9JIN4 | to existing topic ust5y
2025-09-03T01:13:38 | Node relationship removed | ust30y->jgb10y | type=INFLUENCES
2025-09-03T01:13:38 | Relationship duplicate | fed_powell_rate_cut_hint_2025->fed_policy | type=INFLUENCES
2025-09-03T01:13:38 | Replacement of article skipped | ust30y | no competing candidates in timeframe current
2025-09-03T01:13:38 | Added article | 6P6V9JIN4 | to existing topic ust30y
2025-09-03T01:15:49 | Node relationship created | dxy->copper | type=INFLUENCES
2025-09-03T01:15:50 | Replacement of article skipped | dxy | no competing candidates in timeframe current
2025-09-03T01:15:50 | Added article | 6P6V9JIN4 | to existing topic dxy
2025-09-03T01:15:57 | Node relationship removed | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T01:15:57 | Node relationship created | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-09-03T01:15:58 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T01:15:58 | Added article | Q7IUYV2JV | to existing topic fed_policy
2025-09-03T01:17:35 | Node relationship removed | eurusd->oil_price_decline | type=INFLUENCES
2025-09-03T01:17:36 | Node relationship created | us_services_pmi->eurusd | type=INFLUENCES
2025-09-03T01:17:36 | Replacement of article skipped | eurusd | no competing candidates in timeframe current
2025-09-03T01:17:36 | Added article | 6P6V9JIN4 | to existing topic eurusd
2025-09-03T01:19:32 | Node relationship created | usdjpy->ust5y | type=CORRELATES_WITH
2025-09-03T01:19:32 | Replacement of article skipped | usdjpy | no competing candidates in timeframe current
2025-09-03T01:19:32 | Added article | 6P6V9JIN4 | to existing topic usdjpy
2025-09-03T01:21:49 | Node relationship removed | gbpusd->gilt10y | type=CORRELATES_WITH
2025-09-03T01:21:49 | Node relationship created | gbpusd->us_unemployment_claims | type=CORRELATES_WITH
2025-09-03T01:21:49 | Replacement of article skipped | gbpusd | no competing candidates in timeframe current
2025-09-03T01:21:49 | Added article | 6P6V9JIN4 | to existing topic gbpusd
2025-09-03T01:22:02 | Node relationship removed | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-09-03T01:22:02 | Node relationship created | fed_policy->usdjpy | type=INFLUENCES
2025-09-03T01:22:02 | Replacement of article skipped | fed_policy | no competing candidates in timeframe fundamental
2025-09-03T01:22:03 | Added article | EC4AY6U1N | to existing topic fed_policy
2025-09-03T01:24:11 | Node relationship removed | wti->us_core_pce | type=INFLUENCES
2025-09-03T01:24:11 | Node relationship created | wti->ust30y | type=INFLUENCES
2025-09-03T01:24:11 | Replacement of article skipped | wti | no competing candidates in timeframe current
2025-09-03T01:24:11 | Added article | 6P6V9JIN4 | to existing topic wti
2025-09-03T01:24:18 | Node relationship removed | us_inflation->gold | type=INFLUENCES
2025-09-03T01:24:18 | Node relationship created | us_inflation->us_services_pmi | type=INFLUENCES
2025-09-03T01:24:19 | Replacement of article skipped | us_inflation | no competing candidates in timeframe fundamental
2025-09-03T01:24:19 | Added article | EC4AY6U1N | to existing topic us_inflation
2025-09-03T01:26:02 | Node relationship removed | brent->sx5e | type=INFLUENCES
2025-09-03T01:26:02 | Node relationship created | brent->ust2y | type=INFLUENCES
2025-09-03T01:26:02 | Replacement of article skipped | brent | no competing candidates in timeframe current
2025-09-03T01:26:02 | Added article | 6P6V9JIN4 | to existing topic brent
2025-09-03T01:26:10 | Node relationship removed | us_core_pce->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T01:26:10 | Node relationship created | us_core_pce->fed_policy | type=INFLUENCES
2025-09-03T01:26:11 | Replacement of article skipped | us_core_pce | tf=fundamental cnt=3 < 5
2025-09-03T01:26:11 | Added article | EC4AY6U1N | to existing topic us_core_pce
2025-09-03T01:27:55 | Node relationship removed | gold->copper | type=CORRELATES_WITH
2025-09-03T01:27:56 | Node relationship created | gold->usdjpy | type=CORRELATES_WITH
2025-09-03T01:27:56 | Replacement of article skipped | gold | tf=current cnt=3 < 5
2025-09-03T01:27:56 | Added article | 6P6V9JIN4 | to existing topic gold
2025-09-03T01:27:58 | Replacement of article skipped | ust10y | no competing candidates in timeframe fundamental
2025-09-03T01:27:58 | Added article | EC4AY6U1N | to existing topic ust10y
2025-09-03T01:30:06 | Replacement of article skipped | ust2y | no competing candidates in timeframe fundamental
2025-09-03T01:30:06 | Added article | EC4AY6U1N | to existing topic ust2y
2025-09-03T01:30:16 | Node relationship removed | us_inflation->us_services_pmi | type=INFLUENCES
2025-09-03T01:30:16 | Node relationship created | us_inflation->gold | type=INFLUENCES
2025-09-03T01:30:17 | Replacement of article skipped | us_inflation | no competing candidates in timeframe current
2025-09-03T01:30:17 | Added article | 6P6V9JIN4 | to existing topic us_inflation
2025-09-03T01:31:45 | Node relationship removed | ust5y->gbpusd | type=INFLUENCES
2025-09-03T01:31:46 | Node relationship created | ust5y->copper | type=INFLUENCES
2025-09-03T01:31:46 | Replacement of article skipped | ust5y | no competing candidates in timeframe fundamental
2025-09-03T01:31:46 | Added article | EC4AY6U1N | to existing topic ust5y
2025-09-03T01:31:51 | Node relationship removed | us_core_pce->us_services_pmi | type=INFLUENCES
2025-09-03T01:31:52 | Node relationship created | us_core_pce->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T01:31:52 | Replacement of article skipped | us_core_pce | no competing candidates in timeframe current
2025-09-03T01:31:52 | Added article | 6P6V9JIN4 | to existing topic us_core_pce
2025-09-03T01:32:46 | Node relationship created | ust30y->ust10y | type=INFLUENCES
2025-09-03T01:32:46 | Replacement of article skipped | ust30y | no competing candidates in timeframe fundamental
2025-09-03T01:32:46 | Added article | EC4AY6U1N | to existing topic ust30y
2025-09-03T01:32:46 | Error | - | find_influences_and_correlates skipped: Topic missing | topic_id=us_10y Error: Failed to fetch node from Neo4j: Node with id 'us_10y' not found.
2025-09-03T01:32:47 | Replacement of article skipped | us_10y | tf=fundamental cnt=0 < 5
2025-09-03T01:32:47 | Added article | EC4AY6U1N | to existing topic us_10y
2025-09-03T01:32:47 | Error | - | find_influences_and_correlates skipped: Topic missing | topic_id=us_2y Error: Failed to fetch node from Neo4j: Node with id 'us_2y' not found.
2025-09-03T01:32:47 | Replacement of article skipped | us_2y | tf=fundamental cnt=0 < 5
2025-09-03T01:32:47 | Added article | EC4AY6U1N | to existing topic us_2y
2025-09-03T01:32:48 | Error | - | find_influences_and_correlates skipped: Topic missing | topic_id=us_5y Error: Failed to fetch node from Neo4j: Node with id 'us_5y' not found.
2025-09-03T01:32:48 | Replacement of article skipped | us_5y | tf=fundamental cnt=0 < 5
2025-09-03T01:32:48 | Added article | EC4AY6U1N | to existing topic us_5y
2025-09-03T01:32:48 | Error | - | find_influences_and_correlates skipped: Topic missing | topic_id=us_30y Error: Failed to fetch node from Neo4j: Node with id 'us_30y' not found.
2025-09-03T01:32:48 | Replacement of article skipped | us_30y | tf=fundamental cnt=0 < 5
2025-09-03T01:32:48 | Added article | EC4AY6U1N | to existing topic us_30y
2025-09-03T01:34:08 | Node relationship removed | us_services_pmi->ust2y | type=INFLUENCES
2025-09-03T01:34:08 | Node relationship created | us_services_pmi->ust30y | type=INFLUENCES
2025-09-03T01:34:08 | Replacement of article skipped | us_services_pmi | tf=current cnt=3 < 5
2025-09-03T01:34:08 | Added article | 6P6V9JIN4 | to existing topic us_services_pmi
2025-09-03T01:35:10 | Node relationship removed | dxy->us_services_pmi | type=CORRELATES_WITH
2025-09-03T01:35:10 | Node relationship created | dxy->oil_price_decline | type=CORRELATES_WITH
2025-09-03T01:35:11 | Replacement of article skipped | dxy | no competing candidates in timeframe fundamental
2025-09-03T01:35:11 | Added article | EC4AY6U1N | to existing topic dxy
2025-09-03T01:36:31 | Node relationship removed | fed_policy->sofr | type=INFLUENCES
2025-09-03T01:36:32 | Node relationship created | fed_policy->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T01:36:32 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T01:36:32 | Added article | 6P6V9JIN4 | to existing topic fed_policy
2025-09-03T01:36:48 | Relationship duplicate | eurusd->ust30y | type=INFLUENCES
2025-09-03T01:36:48 | Replacement of article skipped | eurusd | tf=fundamental cnt=1 < 5
2025-09-03T01:36:49 | Added article | EC4AY6U1N | to existing topic eurusd
2025-09-03T01:37:51 | Replacement of article skipped | ecb_policy | tf=current cnt=3 < 5
2025-09-03T01:37:52 | Added article | 6P6V9JIN4 | to existing topic ecb_policy
2025-09-03T01:38:39 | Node relationship removed | wti->usdcny | type=INFLUENCES
2025-09-03T01:38:39 | Node relationship created | wti->us_core_pce | type=INFLUENCES
2025-09-03T01:38:40 | Replacement of article skipped | wti | tf=fundamental cnt=3 < 5
2025-09-03T01:38:40 | Added article | EC4AY6U1N | to existing topic wti
2025-09-03T01:39:13 | Node relationship removed | us_unemployment_claims->us_services_pmi | type=INFLUENCES
2025-09-03T01:39:13 | Node relationship created | us_unemployment_claims->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T01:39:13 | Replacement of article skipped | us_unemployment_claims | no competing candidates in timeframe current
2025-09-03T01:39:13 | Added article | 6P6V9JIN4 | to existing topic us_unemployment_claims
2025-09-03T01:39:58 | Node relationship removed | brent->fed_policy | type=INFLUENCES
2025-09-03T01:39:58 | Node relationship created | brent->oil_price_decline | type=INFLUENCES
2025-09-03T01:39:59 | Replacement of article skipped | brent | tf=fundamental cnt=3 < 5
2025-09-03T01:39:59 | Added article | EC4AY6U1N | to existing topic brent
